Net Status Report
Filename     : C:\Users\danie\Documents\MIL\Subjugator SVN\subjugator8\projects\TestPowerMergeSys\TestPowerMergeBoard.PcbDoc
Date         : 3/12/2019
Time         : 6:32:46 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    Batt1, Signal Layers Only, 0mils
    Batt2, Signal Layers Only, 0mils
    Batt3, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    NetC3_1, Signal Layers Only, 782.858mils
    NetC3_2, Signal Layers Only, 1310.847mils
    NetC6_1, Signal Layers Only, 743.408mils
    NetC6_2, Signal Layers Only, 1310.836mils
    NetC9_1, Signal Layers Only, 1109.437mils
    NetC9_2, Signal Layers Only, 1615.443mils
    NetQ1_G, Signal Layers Only, 0mils
    NetQ2_G, Signal Layers Only, 0mils
    NetQ3_G, Signal Layers Only, 0mils
    PWR_MERGE, Signal Layers Only, 0mils
count : 14
